date,campaign_id,campaign_name,placement,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag
2020-02-11,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,First page Top of Search on Amazon,48,2,14.555,0,0.0,0.041666666666666664,7.2775,0.0,,0.0,True
2020-02-11,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Product pages on Amazon,3534,2,17.59,0,0.0,0.0005659309564233164,8.795,0.0,,0.0,True
2020-02-11,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Rest of search on Amazon,2534,13,17.913846153846155,0,0.0,0.005130228887134964,1.3779881656804736,0.0,,0.0,True
2020-02-12,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,30,2,11.295,0,0.0,0.06666666666666667,5.6475,0.0,,0.0,True
2020-02-12,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Product pages on Amazon,685,0,0.0,0,0.0,0.0,,,,,False
2020-02-12,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Rest of search on Amazon,57,0,0.0,0,0.0,0.0,,,,,False
2020-02-12,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,First page Top of Search on Amazon,124,3,27.036666666666665,1,302.68,0.024193548387096774,9.012222222222222,0.3333333333333333,0.08932425884322276,11.195167057082974,False
2020-02-12,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Product pages on Amazon,2010,1,30.32,1,320.54,0.0004975124378109452,30.32,1.0,0.09459037873588319,10.571899736147758,False
2020-02-12,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Rest of search on Amazon,420,2,15.48,0,0.0,0.004761904761904762,7.74,0.0,,0.0,True
2020-02-12,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,First page Top of Search on Amazon,103,22,3.4986363636363635,5,1308.04,0.21359223300970873,0.1590289256198347,0.22727272727272727,0.0026747166475309344,373.8713784591399,False
2020-02-12,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Product pages on Amazon,223,2,31.52,0,0.0,0.008968609865470852,15.76,0.0,,0.0,True
2020-02-12,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Rest of search on Amazon,33,0,0.0,0,0.0,0.0,,,,,False
2020-02-12,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,First page Top of Search on Amazon,48,1,1.0,0,0.0,0.020833333333333332,1.0,0.0,,0.0,True
2020-02-12,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Product pages on Amazon,2838,6,20.031666666666663,0,0.0,0.0021141649048625794,3.3386111111111103,0.0,,0.0,True
2020-02-12,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Rest of search on Amazon,1443,5,18.006,0,0.0,0.003465003465003465,3.6012,0.0,,0.0,True
2020-02-13,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,43,3,5.203333333333333,0,0.0,0.06976744186046512,1.7344444444444445,0.0,,0.0,True
2020-02-13,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Product pages on Amazon,634,0,0.0,0,0.0,0.0,,,,,False
2020-02-13,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Rest of search on Amazon,55,0,0.0,0,0.0,0.0,,,,,False
2020-02-13,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,First page Top of Search on Amazon,139,3,29.44666666666667,0,0.0,0.02158273381294964,9.815555555555557,0.0,,0.0,True
2020-02-13,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Product pages on Amazon,2314,1,43.04,0,0.0,0.000432152117545376,43.04,0.0,,0.0,True
2020-02-13,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Rest of search on Amazon,363,0,0.0,0,0.0,0.0,,,,,False
2020-02-13,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,First page Top of Search on Amazon,93,13,11.52846153846154,1,320.54,0.13978494623655913,0.8868047337278108,0.07692307692307693,0.03596575010439115,27.804230332955225,False
2020-02-13,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Product pages on Amazon,227,0,0.0,0,0.0,0.0,,,,,False
2020-02-13,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Rest of search on Amazon,14,0,0.0,0,0.0,0.0,,,,,False
2020-02-13,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,First page Top of Search on Amazon,51,2,9.775,0,0.0,0.0392156862745098,4.8875,0.0,,0.0,True
2020-02-13,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Product pages on Amazon,3968,1,18.82,0,0.0,0.00025201612903225806,18.82,0.0,,0.0,True
2020-02-13,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Rest of search on Amazon,2077,15,19.270666666666664,2,669.49,0.007221954742416947,1.284711111111111,0.13333333333333333,0.028784099339298066,34.741403168892276,False
2020-02-14,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,24,0,0.0,0,0.0,0.0,,,,,False
2020-02-14,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Product pages on Amazon,610,0,0.0,0,0.0,0.0,,,,,False
2020-02-14,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Rest of search on Amazon,43,0,0.0,0,0.0,0.0,,,,,False
2020-02-14,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,First page Top of Search on Amazon,92,2,42.295,0,0.0,0.021739130434782608,21.1475,0.0,,0.0,True
2020-02-14,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Product pages on Amazon,1629,1,17.83,1,605.36,0.0006138735420503376,17.83,1.0,0.02945354830183692,33.951766685361754,False
2020-02-14,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Rest of search on Amazon,322,0,0.0,0,0.0,0.0,,,,,False
2020-02-14,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,First page Top of Search on Amazon,85,18,8.611666666666666,6,2421.44,0.21176470588235294,0.4784259259259259,0.3333333333333333,0.003556423725827056,281.1813431391523,False
