date,campaign_id,campaign_name,search_term,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,vichy sunscreen spf 50,21,1,28.4,0,0.0,0.047619047619047616,28.4,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,waterproof sunscreen spf 50,4,1,22.56,0,0.0,0.25,22.56,0.0,,0.0,True
2020-02-27,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,bhringraj hair oil,244,1,37.98,0,0.0,0.004098360655737705,37.98,0.0,,0.0,True
2020-02-27,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,bhringraj oil for hair,796,1,39.63,0,0.0,0.001256281407035176,39.63,0.0,,0.0,True
2020-02-27,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,bhringraj oil for hair growth,46,1,99.21,0,0.0,0.021739130434782608,99.21,0.0,,0.0,True
2020-02-27,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,brahmi bhringraj oil,3,1,59.53,0,0.0,0.3333333333333333,59.53,0.0,,0.0,True
2020-02-27,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,dabur bhringraj oil for hair,12,1,37.08,0,0.0,0.08333333333333333,37.08,0.0,,0.0,True
2020-02-27,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,hair oil,4792,24,54.53083333333333,1,311.61,0.005008347245409015,2.272118055555555,0.041666666666666664,0.1749970582886728,5.714381771780492,False
2020-02-27,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,hair oils,1255,3,40.18,0,0.0,0.002390438247011952,13.393333333333333,0.0,,0.0,True
2020-02-27,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,on and on hair oil,569,2,57.72,0,0.0,0.0035149384885764497,28.86,0.0,,0.0,True
2020-02-27,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,organic bhringraj hair oil,3,1,61.6,0,0.0,0.3333333333333333,61.6,0.0,,0.0,True
2020-02-27,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,scalp oil,7,1,37.11,0,0.0,0.14285714285714285,37.11,0.0,,0.0,True
2020-02-27,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,white hair,12,1,43.97,0,0.0,0.08333333333333333,43.97,0.0,,0.0,True
2020-02-27,Night Cream || SP || Automatic || 22nd Nov'19,Night Cream || SP || Automatic || 22nd Nov'19,anti aging cream for women,136,2,17.605,0,0.0,0.014705882352941176,8.8025,0.0,,0.0,True
2020-02-27,Night Cream || SP || Automatic || 22nd Nov'19,Night Cream || SP || Automatic || 22nd Nov'19,b01d1ge7m6,1,1,29.8,0,0.0,1.0,29.8,0.0,,0.0,True
2020-02-27,Night Cream || SP || Automatic || 22nd Nov'19,Night Cream || SP || Automatic || 22nd Nov'19,b0791ktxbp,2,1,29.5,0,0.0,0.5,29.5,0.0,,0.0,True
2020-02-27,Night Cream || SP || Automatic || 22nd Nov'19,Night Cream || SP || Automatic || 22nd Nov'19,creams for women,4,1,19.45,0,0.0,0.25,19.45,0.0,,0.0,True
2020-02-27,Night Cream || SP || Automatic || 22nd Nov'19,Night Cream || SP || Automatic || 22nd Nov'19,night cream for women,98,3,17.99,0,0.0,0.030612244897959183,5.996666666666666,0.0,,0.0,True
2020-02-27,Night Cream || SP || Automatic || 22nd Nov'19,Night Cream || SP || Automatic || 22nd Nov'19,night cream in women,1,1,5.97,0,0.0,1.0,5.97,0.0,,0.0,True
2020-02-27,Night Cream || SP || Generic || 24th Nov'19,Night Cream || SP || Generic || 24th Nov'19,anti aging creams,88,1,27.85,0,0.0,0.011363636363636364,27.85,0.0,,0.0,True
2020-02-27,Night Cream || SP || Generic || 24th Nov'19,Night Cream || SP || Generic || 24th Nov'19,anti-aging creams,18,1,61.34,0,0.0,0.05555555555555555,61.34,0.0,,0.0,True
2020-02-27,Night Cream || SP || Generic || 24th Nov'19,Night Cream || SP || Generic || 24th Nov'19,evver night cream,3,1,58.62,0,0.0,0.3333333333333333,58.62,0.0,,0.0,True
2020-02-27,Night Cream || SP || Generic || 24th Nov'19,Night Cream || SP || Generic || 24th Nov'19,night creams,387,1,37.89,0,0.0,0.002583979328165375,37.89,0.0,,0.0,True
2020-02-27,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,b0182i1coy,3,1,13.79,0,0.0,0.3333333333333333,13.79,0.0,,0.0,True
2020-02-27,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,pain relief,53,1,7.41,0,0.0,0.018867924528301886,7.41,0.0,,0.0,True
2020-02-27,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,body pain oil,7,1,67.57,0,0.0,0.14285714285714285,67.57,0.0,,0.0,True
2020-02-27,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,pain relief oil,19,1,25.27,0,0.0,0.05263157894736842,25.27,0.0,,0.0,True
2020-02-27,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,massage oil for joint pain,5,1,40.27,0,0.0,0.2,40.27,0.0,,0.0,True
2020-02-27,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,osteoarthritis knee pain relief,2,1,25.26,1,302.68,0.5,25.26,1.0,0.08345447337121713,11.98258115597783,False
2020-02-27,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,rhuval oil,26,9,1.9811111111111108,2,605.36,0.34615384615384615,0.22012345679012343,0.2222222222222222,0.0032726164779818797,305.5659001682558,False
2020-02-27,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,rhuval oil for joint pain,12,5,10.322,0,0.0,0.4166666666666667,2.0644,0.0,,0.0,True
2020-02-27,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,wintergreen oil for joint pain,10,1,11.24,0,0.0,0.1,11.24,0.0,,0.0,True
2020-02-27,Sunscreen || SP || Automatic || 22nd Nov'19,Sunscreen || SP || Automatic || 22nd Nov'19,uv sunscreen,2,1,16.1,0,0.0,0.5,16.1,0.0,,0.0,True
2020-02-27,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,aroma sunscreen spf 50,4,1,23.46,0,0.0,0.25,23.46,0.0,,0.0,True
2020-02-27,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,biotique bio sandalwood sunscreen spf 50,13,1,27.63,0,0.0,0.07692307692307693,27.63,0.0,,0.0,True
