date,campaign_id,campaign_name,target,match_type,targeting_type,impressions,clicks,cost,orders,sales
2025-11-05,B0C6L9RBKZ (Elite Brain) - SP - BROAD,B0C6L9RBKZ (Elite Brain) - SP - BROAD,elite brain,broad,unknown,6,1,0.83,1,32.99
2025-11-05,B0C6L9RBKZ (Elite Brain) - SP - BROAD 1,B0C6L9RBKZ (Elite Brain) - SP - BROAD 1,aceworkz,broad,unknown,2,1,1.52,0,0.0
2025-11-05,B0C6L9RBKZ - Elite Brain Supplement - Non Branded - Ranking - Cambria  - Exact - 1,B0C6L9RBKZ - Elite Brain Supplement - Non Branded - Ranking - Cambria  - Exact - 1,memory supplement for brain,exact,unknown,4,1,1.59,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - EXACT,B0CT7J7X98 (IGNITE) - SP - EXACT,fat burner appetite suppressant,exact,unknown,17,2,8.17,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - EXACT,B0CT7J7X98 (IGNITE) - SP - EXACT,hydroxycut,exact,unknown,536,1,3.0,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - EXACT,B0CT7J7X98 (IGNITE) - SP - EXACT,metabolism booster,exact,unknown,239,3,7.75,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - LOW BID AUTO SUBSTITUTES,B0CT7J7X98 (IGNITE) - SP - LOW BID AUTO SUBSTITUTES,substitutes,-,unknown,1,1,0.4,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - Product 1,B0CT7J7X98 (IGNITE) - SP - Product 1,"asin=""B01BXLYEQ0""",-,unknown,2477,11,21.46,2,65.98
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 1,appetite suppressant for weight loss,broad,unknown,80,1,1.3,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 12,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 12,pills for fast weight loss,broad,unknown,215,1,1.3,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 15,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 15,thermogenic fat burners for weight loss,broad,unknown,117,1,1.3,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 1,+best +weight +loss +pills,broad,unknown,1,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 6,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 6,+hydroxycut +hardcores +elite,broad,unknown,1,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 6,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 6,+ignite +metabolism,broad,unknown,60,2,3.0,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 7,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 7,+mens +fat +burner,broad,unknown,2,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 1,abdominal fat burner for women,exact,unknown,47,1,2.46,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 1,best fat burner for women weight loss,exact,unknown,23,1,1.8,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 4,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 4,fat burners for men,exact,unknown,3141,7,12.11,1,32.99
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 6,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 6,green tea weight loss supplements,exact,unknown,3,1,1.8,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,"asin-expanded=""B01BXLYEQ0""",-,unknown,18,2,2.0,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,"asin-expanded=""B07XN7NVQ9""",-,unknown,10,1,1.0,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,"asin-expanded=""B0FLDHLMT7""",-,unknown,1,1,0.99,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 10,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 10,metabolism,phrase,unknown,11,4,5.52,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 13,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 13,rapid weight loss for women,phrase,unknown,6,1,1.95,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 14,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 14,thermogenic fat burner,phrase,unknown,548,4,5.9,1,32.99
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 15,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 15,thermogenic fat burners for weight loss,phrase,unknown,8,3,5.72,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 17,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 17,weight loss pills man,phrase,unknown,3,1,1.95,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 17,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 17,womens diet pills fast weight loss,phrase,unknown,6,1,1.95,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 4,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 4,fat burner for men,phrase,unknown,2,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,fat burners,phrase,unknown,243,11,16.19,1,32.99
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,fat burners for women,phrase,unknown,53,2,3.0,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 8,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 8,ignite metabolism,phrase,unknown,6,1,1.95,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 9,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 9,ignite supplement for women,phrase,unknown,4,1,1.34,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branding - Ranking - Cambria  - Exact - 22,B0CT7J7X98 - Ignite Fat Burner - Non Branding - Ranking - Cambria  - Exact - 22,fat burning weight loss pills,exact,unknown,5,1,1.14,0,0.0
2025-11-05,B0DM43FG22  - Timeless - NAD+ - Non Branded - Ranking - Cambria  - Exact - 1,B0DM43FG22  - Timeless - NAD+ - Non Branded - Ranking - Cambria  - Exact - 1,nad supplement for women,exact,unknown,84,1,2.08,0,0.0
2025-11-05,B0DM43FG22 (TIMELESS) - SP - KWG: NAD / NICOTINAMIDE BROAD+,B0DM43FG22 (TIMELESS) - SP - KWG: NAD / NICOTINAMIDE BROAD+,+nad +supplement +nicotinamide,broad,unknown,3,1,3.15,0,0.0
2025-11-05,B0DM43FG22 (Timeless)  - SP - PRODUCT 2,B0DM43FG22 (Timeless)  - SP - PRODUCT 2,"asin=""B0CJG45WHW""",-,unknown,44,1,3.25,0,0.0
2025-11-05,CATCH ALL - SP - AUTO,CATCH ALL - SP - AUTO,loose-match,-,unknown,1,1,0.96,0,0.0
2025-11-06,B07W8S6TC3  - Saffron Supplements - *organic saffron supplements* - Exact - Main Keywords - SKC - Cambria,B07W8S6TC3  - Saffron Supplements - *organic saffron supplements* - Exact - Main Keywords - SKC - Cambria,organic saffron supplements,exact,unknown,481,2,4.4,1,20.99
2025-11-06,B07W8S6TC3  - Saffron Supplements - *organic saffron* - Exact - Main Keywords - SKC - Cambria,B07W8S6TC3  - Saffron Supplements - *organic saffron* - Exact - Main Keywords - SKC - Cambria,organic saffron,exact,unknown,65,2,5.31,1,20.99
2025-11-06,B07W8S6TC3  - Saffron Supplements - *saffron advanced* - Exact - Main Keywords - SKC - Cambria,B07W8S6TC3  - Saffron Supplements - *saffron advanced* - Exact - Main Keywords - SKC - Cambria,saffron advanced,exact,unknown,5,1,2.31,0,0.0
2025-11-06,B07W8S6TC3  - Saffron Supplements - *saffron extract* - Exact - Main Keywords - SKC - Cambria,B07W8S6TC3  - Saffron Supplements - *saffron extract* - Exact - Main Keywords - SKC - Cambria,saffron extract,exact,unknown,454,2,3.2,0,0.0
