date,campaign_id,campaign_name,search_term,impressions,clicks,cost,orders,sales
2025-11-05,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Exact - 3,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Exact - 3,berberine weight loss supplement,10,1,2.32,0,0.0
2025-11-05,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Phrase - 2,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Phrase - 2,berberine and l carnitine,1,1,2.32,0,0.0
2025-11-05,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Phrase - 3,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Phrase - 3,berberine supplement,178,10,20.0,2,49.98
2025-11-05,B08HMCY7Y5 - Berberine  - Offensive - ST - SD - Scaling - Cambria  - Expanded ASIN - 2,B08HMCY7Y5 - Berberine  - Offensive - ST - SD - Scaling - Cambria  - Expanded ASIN - 2,b09xbld5jq,12,1,1.43,0,0.0
2025-11-05,B08HMCY7Y5 - Berberine  - Offensive - ST - SD - Scaling - Cambria  - Expanded ASIN - 3,B08HMCY7Y5 - Berberine  - Offensive - ST - SD - Scaling - Cambria  - Expanded ASIN - 3,b087qtgp1d,20,1,1.18,0,0.0
2025-11-05,B091MGWKT8 - O. Sea Moss - Non Branded - Scaling - Cambria  - Phrase - 1,B091MGWKT8 - O. Sea Moss - Non Branded - Scaling - Cambria  - Phrase - 1,ibs clear with bioperine,2,1,2.32,0,0.0
2025-11-05,B0C6L9RBKZ (Elite Brain) - SP - BROAD,B0C6L9RBKZ (Elite Brain) - SP - BROAD,elite brain,6,1,0.83,1,32.99
2025-11-05,B0C6L9RBKZ (Elite Brain) - SP - BROAD 1,B0C6L9RBKZ (Elite Brain) - SP - BROAD 1,aceworkz elite brain,2,1,1.52,0,0.0
2025-11-05,B0C6L9RBKZ - Elite Brain Supplement - Non Branded - Ranking - Cambria  - Exact - 1,B0C6L9RBKZ - Elite Brain Supplement - Non Branded - Ranking - Cambria  - Exact - 1,memory supplement for brain,4,1,1.59,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - EXACT,B0CT7J7X98 (IGNITE) - SP - EXACT,fat burner & appetite suppressant,12,1,3.98,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - EXACT,B0CT7J7X98 (IGNITE) - SP - EXACT,fat burner and appetite suppressant,5,1,4.19,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - EXACT,B0CT7J7X98 (IGNITE) - SP - EXACT,hydroxycut,536,1,3.0,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - EXACT,B0CT7J7X98 (IGNITE) - SP - EXACT,metabolism booster,239,3,7.75,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - LOW BID AUTO SUBSTITUTES,B0CT7J7X98 (IGNITE) - SP - LOW BID AUTO SUBSTITUTES,b0fs29pzpt,1,1,0.4,0,0.0
2025-11-05,B0CT7J7X98 (IGNITE) - SP - Product 1,B0CT7J7X98 (IGNITE) - SP - Product 1,b01bxlyeq0,2477,11,21.46,2,65.98
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 1,appetite suppressant for weight loss,80,1,1.3,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 12,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 12,weight loss pills,215,1,1.3,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 15,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad - 15,fat burners for women,117,1,1.3,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 1,best thermal weight loss pill,1,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 6,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 6,hardcore elite hydroxycut burner,1,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 6,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 6,metabolism ignite,60,2,3.0,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 7,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Broad Modifier - 7,phenq fat burner for men,2,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 1,abdominal fat burner for women,47,1,2.46,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 1,best fat burner for women weight loss,23,1,1.8,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 4,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 4,fat burner for men,3141,7,12.11,1,32.99
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 6,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Exact - 6,green tea weight loss supplements,3,1,1.8,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,b01lthlfm4,1,1,0.99,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,b086h4g7w5,6,1,1.0,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,b0dpxy3qzw,10,1,1.0,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Expanded ASIN - 1,b0f4rxh63t,12,1,1.0,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 10,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 10,fat burning metabolism energy booster,1,1,1.38,0,0.0
